#SampleID	DisplayID	Group	Type	DEG_exclude
flcount_HBCC_846_PFC_hifi	HBCC_846_PFC_hifi	PFC	Bulk	no
flcount_HBCC_894_PFC_hifi	HBCC_894_PFC_hifi	PFC	Bulk	no
flcount_HBCC_910_PFC_hifi	HBCC_910_PFC_hifi	PFC	Bulk	no
flcount_HBCC_977_PFC_hifi	HBCC_977_PFC_hifi	PFC	Bulk	no
flcount_HSB189	HSB189	PFC	Single	yes
flcount_HSB_combined	HSB_combined	PFC	Bulk	yes
flcount_PFC-DP13_hifi	PFC-DP13_hifi	PFC	Bulk	no
flcount_PFC-DP14_hifi	PFC-DP14_hifi	PFC	Bulk	no
flcount_PFC-DP15_hifi	PFC-DP15_hifi	PFC	Bulk	no
flcount_PFC-DP16_hifi	PFC-DP16_hifi	PFC	Bulk	no
flcount_PFC_DP13_hifi	PFC-DP13_hifi	PFC	Bulk	no
flcount_PFC_DP14_hifi	PFC-DP14_hifi	PFC	Bulk	no
flcount_PFC_DP15_hifi	PFC-DP15_hifi	PFC	Bulk	no
flcount_PFC_DP16_hifi	PFC-DP16_hifi	PFC	Bulk	no
flcount_RH_combined	RH_combined	PFC	Bulk	yes
flcount_SF1156_DLPFC	SF1156_DLPFC	PFC	Bulk	no
flcount_SF1156_Hippocampus	SF1156_Hippocampus	HIP	Bulk	no
flcount_SF1156_dACC	SF1156_dACC	ACC	Bulk	no
flcount_SF1227_DLPFC_hifi	SF1227_DLPFC_hifi	PFC	Bulk	no
flcount_SF1227_dACC_hifi	SF1227_dACC_hifi	ACC	Bulk	no
flcount_SF1227_hippocampus_hifi	SF1227_hippocampus_hifi	HIP	Bulk	no
flcount_SF1390_DLPFC	SF1390_DLPFC	PFC	Bulk	no
flcount_SF1390_dACC	SF1390_dACC	ACC	Bulk	no
flcount_SF2052_DLPFC_hifi	SF2052_DLPFC_hifi	PFC	Bulk	no
flcount_SF2780_DLPFC	SF2780_DLPFC	PFC	Bulk	no
flcount_SF2780_Hippocampus	SF2780_Hippocampus	HIP	Bulk	no
flcount_SF2780_dACC	SF2780_dACC	ACC	Bulk	no
flcount_SF2781_DLPFC	SF2781_DLPFC	PFC	Bulk	no
flcount_SF2781_Hippocampus	SF2781_Hippocampus	HIP	Bulk	no
flcount_SF2781_dACC_hifi	SF2781_dACC_hifi	ACC	Bulk	no
flcount_SF2791_DLPFC	SF2791_DLPFC	PFC	Bulk	no
flcount_SF2791_Hippocampus	SF2791_Hippocampus	HIP	Bulk	no
flcount_SF2791_dACC	SF2791_dACC	ACC	Bulk	no
flcount_UMB5168	UMB5168	PFC	Single	yes
flcount_UMB5342	UMB5342	PFC	Single	yes
flcount_UMB5376	UMB5376	PFC	Single	yes
flcount_cerebellumPool	cerebellumPool	CBL	Bulk	no
flcount_humfetalbrainpool_clontech	humfetalbrainpool_clontech	Fetal	Bulk	yes
